image,caption
000000101881.jpg,A person is typing on a laptop, tv, keyboard, bottle and other items.
000000102295.jpg,A clock with a white face.
000000102477.jpg,A person is brushing their teeth with a toothbrush.
000000102524.jpg,A person is playing frisbee with a friend.
000000102557.jpg,A dog is skateboarding on a skateboard.
000000102578.jpg,A bear is a large animal that lives in the forest.
000000102647.jpg,A bear is a large animal that lives in the forest.
000000102814.jpg,An elephant is grazing on a grassy field.
000000102844.jpg,A zebra is grazing on a grassy area.
000000103115.jpg,A person is playing tennis with a tennis racket and sports ball.
000000103147.jpg,A person is surfing on a surfboard.
000000103264.jpg,A giraffe is eating grass.
000000103350.jpg,A person is holding an umbrella next to a TV.
000000103605.jpg,A person is playing frisbee with a friend.
000000103633.jpg,A dog is playing with a frisbee.
000000103649.jpg,A pizza, fork, knife and cup on a dining table.
000000103721.jpg,A bowl of oranges, carrots, apples, and spoons with oranges, apples, carrots, and spoons.
000000103845.jpg,A stop sign is on a road.
000000104096.jpg,A plate of broccoli, carrots, and broccoli.
000000104129.jpg,A person is carrying a backpack with skis.
000000104245.jpg,A toilet and sink in a bathroom.
000000104274.jpg,A person is watching tv with a cat.
000000104658.jpg,A toilet with a seat in the middle of the room.
000000104672.jpg,A zebra is grazing on a grassy plain.
000000104834.jpg,A teddy bear with a cup, cup, fork, backpack, spoon, and handbag.
000000104992.jpg,A person is kite surfing with a surfboard.
000000105127.jpg,A toilet with a seat in the middle of the room.
000000105218.jpg,A person is sitting on a boat with an umbrella, teddy bear, umbrella, chair, orange backpack, and bottle.
000000105366.jpg,A refrigerator, clock, vase and a clock.
000000105541.jpg,A person is playing frisbee with a group of people.
000000105554.jpg,A group of sheep are grazing on a grassy field.
000000105630.jpg,A person is riding a skateboard.
000000105794.jpg,A keyboard and mouse are on a desk.
000000105832.jpg,A person is skiing down a hill.
000000105887.jpg,A zebra is grazing on a grassy plain.
000000105944.jpg,A person is riding a skateboard.
000000106285.jpg,A dog is sleeping on a bed.
000000106396.jpg,A clock with scissors and a clock.
000000106515.jpg,A kite is flying over a lake.
000000107010.jpg,A bench with a tan bench on it.
000000107139.jpg,A bicycle is stopped at a stop sign.
000000107315.jpg,A clock with a white face.
000000107875.jpg,A car is driving down a road with traffic lights.
000000108296.jpg,A bear is a large animal that lives in the forest.
000000108469.jpg,A teddy bear is on a shelf.
000000108550.jpg,A traffic light with a kite flying over it.
000000110304.jpg,A banana is on a plate.
000000110337.jpg,A toilet, sink, and sink in a bathroom.
000000110711.jpg,A group of cows and horses are grazing on a field.
000000110820.jpg,A person is holding an umbrella.
000000110880.jpg,A dog is on a motorcycle.
000000111006.jpg,A zebra is grazing on a grassy plain.
000000111074.jpg,A person is looking at bottles in a refrigerator.
000000111089.jpg,Birds are flying in the sky and birds are flying in the sky.
000000111520.jpg,A cow is grazing on a grassy field.
000000111610.jpg,A cow is grazing on a grassy field.
000000111623.jpg,A toilet with a seat in the middle of the room.
000000111990.jpg,A teddy bear and motorcycle.
000000112143.jpg,A stop sign is on a road.
000000112283.jpg,A dog is playing with a frisbee.
000000112367.jpg,A cow and sheep are grazing on a field.
000000112496.jpg,A zebra is grazing on a grassy plain.
000000112602.jpg,A person is skiing on skis.
000000112998.jpg,A person is brushing their teeth with a toothbrush.
000000113012.jpg,An airplane is flying a kite.
000000113024.jpg,A person is holding an umbrella and a kite.
000000113386.jpg,A person is holding an umbrella next to a clock.
000000113527.jpg,A bowl of oranges with oranges in it.
000000113562.jpg,A group of sheep are grazing on a field.
000000113655.jpg,A person is skateboarding on a bench.
000000113760.jpg,A person is holding an umbrella and a handbag.
000000113870.jpg,A person is holding an umbrella while another person is standing next to him.
000000114031.jpg,A clock and a potted plant.
000000114114.jpg,A dog is playing with a frisbee.
000000114150.jpg,A person is playing tennis with a tennis racket.
000000114161.jpg,A group of umbrellas are stacked on top of each other.
000000114205.jpg,A person is surfing on a surfboard.
000000114577.jpg,A person is playing frisbee with a friend.
000000114910.jpg,A group of people are gathered around a kite.
000000115234.jpg,A clock with a white face.
000000115295.jpg,A group of sheep and sheep are grazing on a grassy field.
000000115627.jpg,A person is playing frisbee with a friend.
000000115801.jpg,A kitchen with a microwave, refrigerator, toaster and sink.
000000116106.jpg,A bathroom with a sink, toilet, vase, bottle, and potted plants.
000000116214.jpg,A person is eating a hot dog with other people.
000000116306.jpg,A person is riding a motorcycle.
000000116714.jpg,A person is holding an umbrella and a handbag.
000000117410.jpg,A person is riding a skateboard.
000000117451.jpg,A person is surfing on a surfboard.
000000117590.jpg,A boat and a kite.
000000117625.jpg,A person is flying a kite.
000000117874.jpg,A dog is playing with a frisbee.
000000118354.jpg,A person is riding a skateboard.
000000118491.jpg,A chair with a keyboard, mouse, laptop, and keyboard.
000000118649.jpg,A toilet with a seat in the middle of the room.
000000119260.jpg,A traffic light is on.
000000119380.jpg,A kitchen with a refrigerator, microwave, and clock.
000000119394.jpg,A person is playing frisbee with a friend.
000000119439.jpg,A person is flying a kite.
000000119738.jpg,A stop sign is on a road.
000000119838.jpg,A train with a bench and people on it.
000000120281.jpg,A zebra is grazing on a grassy area.
000000120489.jpg,A group of elephants are driving a car.
000000120678.jpg,A cat is in the sink.
000000120752.jpg,A person is flying a kite.
000000120889.jpg,A donut with a donut on top.
000000121357.jpg,A person is snowboarding with a snowboard.
000000121723.jpg,A person is eating a banana with an elephant.
000000121914.jpg,A person is launching a kite.
000000121925.jpg,A zebra is grazing on a grassy area.
000000121936.jpg,A group of people are skateboarding on skateboards.
000000122215.jpg,A person is snowboarding down a snowy hill.
000000122347.jpg,A person is skiing down a hill.
000000122477.jpg,A toilet with a seat in the middle of the room.
000000123165.jpg,A couch, clock, potted plants, vase and clock.
000000123574.jpg,A person is grazing sheep with a person in the background.
000000124159.jpg,A zebra is grazing on a grassy plain.
000000124402.jpg,A giraffe is eating grass.
000000124717.jpg,A person is eating pizza at a dining table.
000000125276.jpg,A horse and sheep are grazing in a field.
000000125294.jpg,A bear is a large animal that lives in the forest.
000000125320.jpg,A person is holding an umbrella and a handbag.
000000125391.jpg,A person is skiing down a hill.
000000125475.jpg,A person is skateboarding on a skateboard.
000000126036.jpg,A group of sheep and sheep are grazing on a field.
000000126068.jpg,A fire hydrant is on a street.
000000126218.jpg,A person is kite surfing with a surfboard.
000000126337.jpg,A person is standing next to a fire hydrant.
000000126377.jpg,A stop sign is on a road.
000000126385.jpg,A person is surfing on a surfboard.
000000126424.jpg,A car and a fire hydrant.
000000126453.jpg,A person is snowboarding on a snowboard.
000000126589.jpg,A person is sleeping on a bed with suitcases and suitcases.
000000126591.jpg,A zebra is grazing on a grassy plain.
000000126616.jpg,A person is skiing and snowboarding.
000000126752.jpg,A stop sign is on a road.
000000126842.jpg,A group of elephants and zebras are grazing on grass.
000000126901.jpg,A zebra is grazing on a grassy area.
000000127017.jpg,A person is snowboarding down a snowy hill.
000000127513.jpg,A dog is flying a kite.
000000127915.jpg,A zebra is grazing on a grassy area.
000000127946.jpg,A zebra is grazing on a grassy plain.
000000127977.jpg,A person is preparing food in a microwave, refrigerator, and bowl.
000000128089.jpg,A group of people are skiing down a mountain.
000000128266.jpg,A person in orange is holding an umbrella next to a car.
000000128365.jpg,A person is playing frisbee with a friend.
000000129034.jpg,An airplane is flying over a city.
000000129230.jpg,A person is skiing down a hill.
000000129318.jpg,A hot dog is on a plate.
000000129446.jpg,A giraffe is eating grass.
000000129469.jpg,A group of cows and cows are grazing in a field.
000000129522.jpg,A group of cows are grazing on a farm.
000000129588.jpg,A person is carrying a backpack with skis.
000000129630.jpg,A toilet with a seat in the middle of the room.
000000129681.jpg,A person is kite surfing with a surfboard.
000000129785.jpg,A group of people are flying kites with a kite.
000000129884.jpg,A flock of birds and sheep are grazing on a farm.
000000129931.jpg,A person is using a cell phone.
000000130255.jpg,A cat is sleeping on a suitcase.
000000130531.jpg,A person is skiing down a hill.
000000130548.jpg,A dog is playing with a frisbee.
000000130611.jpg,A zebra is grazing on a grassy plain.
000000130801.jpg,A person is skateboarding with a skateboard.
000000130964.jpg,A person is skateboarding with a skateboard.
000000131029.jpg,A person is surfing on a surfboard.
000000131224.jpg,A banana is on a plate.
000000131260.jpg,A cat is on a toilet.
000000131446.jpg,A toilet with a seat on top of it.
000000131542.jpg,A person is preparing food in a bowl, cup, bottle, oven, refrigerator, and microwave.
000000131550.jpg,A person is riding a skateboard.
000000131723.jpg,A person is carrying a backpack with skis.
000000131777.jpg,A person is playing frisbee with a friend.
000000132169.jpg,A group of sheep are grazing on a grassy field.
000000132287.jpg,A zebra is grazing on a grassy area.
000000132311.jpg,A group of zebras are grazing on a grassy plain.
000000132416.jpg,A group of people are gathered around a kite and an umbrella.
000000132461.jpg,A person is brushing their teeth with a toothbrush.
000000132481.jpg,A person is snowboarding while another person skis.
000000132535.jpg,A person is skiing down a hill.
000000132559.jpg,A group of people are skiing down a mountain.
000000132909.jpg,A person is holding an elephant and a group of elephants.
000000132932.jpg,A group of people are holding umbrellas and umbrellas.
000000133182.jpg,A group of sheep are grazing on a grassy field.
000000133240.jpg,A person is playing tennis with a tennis racket and sports ball.
000000133674.jpg,A person is skateboarding with a clock on his skateboard.
000000134069.jpg,A car is stopped at a traffic light.
000000134230.jpg,A person is holding an umbrella.
000000134264.jpg,A person is riding a bicycle.
000000134492.jpg,A group of sheep are grazing on a grassy field.
000000134505.jpg,A fire hydrant is on a street.
000000134692.jpg,A toilet, sink, and bottle.
000000134976.jpg,A zebra is grazing on a grassy plain.
000000135024.jpg,A stop sign is on a road.
000000135091.jpg,A toilet with a seat on top of it.
000000135144.jpg,A group of people are gathered around a kite.
000000135156.jpg,A giraffe is eating grass.
000000135519.jpg,A group of people are skiing with a backpack.
000000135557.jpg,A zebra is grazing on a grassy plain.
000000135711.jpg,A group of sheep are grazing on a field.
000000135780.jpg,A person is surfing on a surfboard.
000000136214.jpg,A zebra, elephant, and zebra are grazing in a grassy area.
000000136352.jpg,A person is snowboarding down a snowy hill.
000000136362.jpg,A toilet with a clock on it.
000000136802.jpg,A person is playing tennis with a tennis racket and sports ball.
000000137180.jpg,A person is skiing down a hill.
000000137280.jpg,A group of elephants and cows are grazing on a grassy area.
000000137513.jpg,A teddy bear in orange and orange.
000000137554.jpg,A zebra is grazing on a grassy plain.
000000137870.jpg,A group of people are gathered around a kite.
000000138012.jpg,A zebra is grazing on a grassy plain.
000000138043.jpg,A stop sign is on a road.
000000138080.jpg,A person is posing with a giraffe.
000000138126.jpg,A person is looking at a clock.
000000138277.jpg,A person is skiing down a hill.
000000138358.jpg,A person is skateboarding with a skateboard.
000000138399.jpg,A person is skiing down a hill with skis.
000000138445.jpg,A group of umbrellas are grouped together under umbrellas.
000000138681.jpg,A giraffe is standing next to a car.
000000138762.jpg,A person is skiing on a snowboard.
000000138985.jpg,A person is surfing on a surfboard.
000000139925.jpg,A cow is grazing on a grassy field.
000000140319.jpg,A zebra is grazing on a grassy area.
000000140477.jpg,A person is putting food in an oven.
000000140496.jpg,A group of people are gathered around a kite.
000000140509.jpg,A pizza with cheese and pepperoni.
000000140586.jpg,A group of sheep and sheep are grazing on a field.
000000140589.jpg,A person is holding an umbrella while riding a bicycle.
000000140704.jpg,A person is carrying a backpack with skis.
000000140715.jpg,A stop sign is on a road.
000000140765.jpg,A banana, apple, orange, and banana are on a plate.
000000140857.jpg,A sheep is grazing on hay.
000000141130.jpg,A group of sheep are grazing on a field.
000000141171.jpg,A person is snowboarding with a suitcase and backpack.
000000141241.jpg,A dog is playing with a frisbee.
000000141550.jpg,A bear is a large animal that lives in the forest.
000000141569.jpg,A person is surfing on a surfboard.
000000141626.jpg,A bear is a large animal that lives in the forest.
000000141778.jpg,A giraffe is standing next to a car.
000000141908.jpg,A parking meter with cars and cars in it.
000000141969.jpg,A giraffe is eating grass.
000000142078.jpg,A person is carrying a backpack with skis and skis.
000000142296.jpg,A clock and a potted plant.
000000142373.jpg,A person is holding an umbrella.
000000142379.jpg,A person is standing next to a giraffe.
000000142703.jpg,A group of sheep and sheep are grazing on a grassy field.
000000142965.jpg,A group of people are holding umbrellas and umbrellas.
000000143122.jpg,A person is snowboarding on a snowboard.
000000143283.jpg,A cake, knife, bowl and spoon.
000000143347.jpg,A person is skiing down a hill.
000000143451.jpg,A toilet with a seat on top of it.
000000000180.jpg,A bear is a large animal that lives in the forest.
000000000492.jpg,A person is using a cup, spoon, and cell phone in an oven.
000000001172.jpg,A couch, suitcase, teddy bear and a suitcase.
000000001550.jpg,A toilet with a seat in the middle of the room.
000000001600.jpg,A cat is on the toilet.
000000002914.jpg,A person is surfing on a surfboard.
000000003413.jpg,A cat is on a bench.
000000003896.jpg,A giraffe is standing next to a giraffe.
000000004036.jpg,A person is holding a teddy bear.
000000004236.jpg,A group of elephants are playing with a boat and frisbee.
000000006435.jpg,A cow is grazing on a grassy field.
000000006913.jpg,A giraffe is standing next to a giraffe.
000000007362.jpg,A cat is riding a motorcycle.
000000007591.jpg,A person is holding a tennis racket.
000000007693.jpg,A person is playing frisbee with a person.
000000007907.jpg,A person is playing tennis with a tennis racket.
000000008034.jpg,A toilet, sink, vase, potted plant, bottle and sink.
000000009674.jpg,A person is skateboarding on a skateboard.
000000010452.jpg,A cow is grazing on hay.
000000010626.jpg,A giraffe is grazing on a grassy area.
000000010700.jpg,A person is stopped at a stop sign.
000000012402.jpg,A person is snowboarding on a snowboard.
000000012414.jpg,A suitcase with books in it and a suitcase with books in it.
000000013693.jpg,A cat is sleeping in a suitcase.
000000013880.jpg,A cow is grazing on a grassy field.
000000015027.jpg,An elephant is grazing on a grassy field.
000000015425.jpg,A bowl of bananas on a dining table.
000000015495.jpg,A kitchen with a refrigerator, sink, oven, and dining table.
000000015713.jpg,A person is holding a tennis racket.
000000015898.jpg,A dog is playing with a frisbee.
000000015971.jpg,A hot dog is on a plate.
000000016086.jpg,A flock of sheep with a kite flying over them.
000000016914.jpg,A group of people are snowboarding down a hill.
000000018863.jpg,A desk with a keyboard, mouse, laptop, cell phone, keyboard, laptop, tv, and mouse.
000000018891.jpg,A person is carrying a backpack with skis and an airplane.
000000019527.jpg,A person is playing frisbee with a friend.
000000020040.jpg,A person is skateboarding on a skateboard.
000000021557.jpg,A person is carrying a backpack with snowboards and skis.
000000021682.jpg,A zebra is grazing on a grassy plain.
000000021829.jpg,A person is holding a baseball bat and an elephant is in the background.
000000022233.jpg,A zebra is grazing on a grassy plain.
000000023826.jpg,A person is skiing with a group of people.
000000024065.jpg,A person is skiing down a hill.
000000025599.jpg,A group of zebras are grazing on a grassy plain.
000000026832.jpg,A person is wearing a baseball glove while skiing.
000000027580.jpg,A cake with frosting and a icing.
000000028107.jpg,A toilet and sink in a bathroom.
000000028501.jpg,A person is skiing on skis and snowboard.
000000029528.jpg,A zebra is grazing on a grassy plain.
000000029628.jpg,A group of cows are grazing on a farm.
000000030726.jpg,A group of people are riding an elephant.
000000032131.jpg,A person is playing tennis with a tennis racket.
000000032593.jpg,A zebra is grazing on a grassy plain.
000000033783.jpg,A dog is playing with a frisbee.
000000034504.jpg,A dining table with a knife, fork, carrots, broccoli and broccoli.
000000035287.jpg,A person is skateboarding on a skateboard.
000000035522.jpg,A group of sheep are grazing on a field.
000000035665.jpg,A dining table with a wine glass, banana, orange, apple, and vase.
000000036162.jpg,A cat is on a toilet.
000000036937.jpg,A person is grazing sheep with a person in the background.
000000037568.jpg,A person is holding an umbrella.
000000037664.jpg,A donut, cup, and spoon on a dining table.
000000037835.jpg,A pizza on a dining table.
000000037844.jpg,A cat is next to a clock with books and books.
000000038100.jpg,A bowl of bananas on a dining table.
000000038519.jpg,A plate of carrots, broccoli, oranges, and oranges.
000000041207.jpg,A toilet with a seat in the middle of the room.
000000042053.jpg,A dog is on a bench.
000000042369.jpg,A person is eating cake at a dining table.
000000042545.jpg,A person is grazing a cow.
000000042933.jpg,A group of people are riding an elephant.
000000044510.jpg,A cat is on a couch with books and books on it.
000000044930.jpg,A person is skiing down a hill with his skis.
000000044990.jpg,A toilet and sink in a bathroom.
000000045113.jpg,A person is eating pizza at a dining table.
000000045716.jpg,A person is walking with an umbrella, backpack, umbrella, and traffic light.
000000046005.jpg,A cat is drinking from a cup in the sink.
000000046368.jpg,A group of people are gathered around a kite.
000000047018.jpg,A giraffe is eating grass.
000000047063.jpg,A toilet, sink, and sink in a bathroom.
000000049325.jpg,A person is riding a skateboard.
000000050009.jpg,A person is playing tennis with a tennis racket and sports ball.
000000051804.jpg,A giraffe is standing next to a giraffe.
000000051809.jpg,A person is flying a kite.
000000052356.jpg,A person is eating a sandwich.
000000052908.jpg,A group of people are walking past a zebra.
000000053270.jpg,A person is skateboarding on a bench.
000000054673.jpg,A group of people are sitting on a boat with umbrellas.
000000054993.jpg,A zebra is grazing on a grassy plain.
000000055666.jpg,A person is playing frisbee with a group of people.
000000058136.jpg,A person is eating a donut.
000000059862.jpg,A group of sheep are grazing on a grassy field.
000000059890.jpg,A giraffe is standing next to a giraffe.
000000061458.jpg,A dog is on a surfboard.
000000061924.jpg,A giraffe is standing next to a giraffe.
000000062323.jpg,A person is surfing on a surfboard.
000000062765.jpg,A person is playing frisbee with a surfboard.
000000062866.jpg,A person is holding an umbrella and a kite.
000000062999.jpg,A dining table with a pizza, cake and chairs.
000000063489.jpg,A person is flying a kite.
000000063591.jpg,A group of people are skiing down a hill.
000000065645.jpg,A giraffe is grazing on a grassy area.
000000066021.jpg,A toilet with a seat in the middle of the room.
000000066159.jpg,A person is skiing down a hill.
000000066982.jpg,A zebra is grazing on a grassy area.
000000067201.jpg,A group of sheep and sheep are grazing on a field.
000000067758.jpg,A person is riding an elephant.
000000068001.jpg,A dog is eating carrots.
000000068846.jpg,A cat is riding a motorcycle.
000000069288.jpg,Bananas are a staple food in many cultures.
000000070314.jpg,A toilet with a seat on top of it.
000000070954.jpg,A clock with a white face.
000000071074.jpg,A person is surfing on a surfboard.
000000071178.jpg,A horse is grazing on a bench.
000000071213.jpg,A giraffe is standing next to a giraffe.
000000072078.jpg,A person is sitting on a bench next to an elephant.
000000072388.jpg,A person is holding an umbrella and a potted plant.
000000074042.jpg,A fire hydrant with a banana on top.
000000074580.jpg,A group of zebras are grazing on a grassy plain.
000000075681.jpg,A person is playing frisbee with a dog.
000000075946.jpg,A kitchen with a microwave, bowl, cup, bottle, book, orange, and keyboard.
000000076148.jpg,A toilet and sink in a bathroom.
000000076285.jpg,A person is riding a skateboard.
000000077089.jpg,A person is carrying a backpack with skis.
000000077771.jpg,A fire hydrant is on a street.
000000078991.jpg,A group of people are standing around a clock.
000000079105.jpg,A dog is drinking from a bottle.
000000080327.jpg,A group of people are playing frisbee with a frisbee.
000000082133.jpg,A group of people are playing frisbee with an elephant and a dog.
000000082534.jpg,An elephant is grazing on a grassy field.
000000083116.jpg,A clock with a white face.
000000083157.jpg,A person is snowboarding down a snowy hill.
000000083426.jpg,A person is skateboarding with a skateboard.
000000083631.jpg,A group of people are riding motorcycles.
000000085638.jpg,A person is flying a kite.
000000086881.jpg,A giraffe is eating grass.
000000087201.jpg,A person is skateboarding with a skateboard.
000000087934.jpg,A person is playing frisbee with a friend.
000000088809.jpg,A person is holding a tennis racket.
000000088878.jpg,A person is playing tennis with a tennis racket, sports ball, and baseball glove.
000000089412.jpg,A pizza on a dining table.
000000090043.jpg,A zebra is grazing on a grassy plain.
000000090286.jpg,A bear is a large animal that lives in the forest.
000000090492.jpg,A group of people are snowboarding down a hill.
000000090828.jpg,A person is skateboarding on a skateboard.
000000090979.jpg,A person is surfing on a surfboard.
000000091088.jpg,A person is skateboarding with a skateboard.
000000091486.jpg,A person is flying a kite.
000000091824.jpg,A zebra is grazing on a grassy plain.
000000092100.jpg,A traffic light and a fire hydrant.
000000092434.jpg,A car with umbrellas at traffic lights.
000000095339.jpg,A horse is grazing on hay.
000000096195.jpg,A giraffe is standing next to a giraffe.
000000097648.jpg,A group of people are eating hot dogs at a dining table.
000000097738.jpg,A bear is a large animal that lives in the forest.
000000098052.jpg,A cat is riding a motorcycle.
000000098625.jpg,A person is playing tennis with a tennis racket.
000000100754.jpg,A toilet with a seat in the middle of the room.
000000102211.jpg,A person is riding an elephant.
000000102376.jpg,A hot dog on a dining table.
000000103591.jpg,A zebra is grazing on a grassy area.
000000105203.jpg,A person is playing frisbee with a friend.
000000106257.jpg,A giraffe is standing next to a giraffe.
000000107057.jpg,A dog is playing with a frisbee.
000000107274.jpg,A zebra is grazing on a grassy plain.
000000108211.jpg,A dog is playing with a frisbee.
000000108992.jpg,A living room with a couch, chair, chair, vase, and tv.
000000111200.jpg,A giraffe is standing next to a giraffe.
000000116422.jpg,A giraffe is eating grass.
000000116962.jpg,A person is holding an umbrella and an elephant.
000000117249.jpg,A person is surfing on a surfboard.
000000117277.jpg,A cow is on a bench.
000000117357.jpg,A plate of broccoli, carrots, oranges, and oranges.
000000118481.jpg,A zebra is grazing on a grassy plain.
000000118711.jpg,A group of zebras are grazing on a grassy plain.
000000120025.jpg,A dog is grazing sheep and a cow.
000000120148.jpg,A bear is a large animal that lives in the forest.
000000124024.jpg,A person is carrying an umbrella and backpack.
000000125630.jpg,A cow is grazing on a grassy field.
000000126106.jpg,A group of people are gathered around a kite.
000000127340.jpg,A person is riding a skateboard.
000000128289.jpg,A toilet with a seat in the middle of the room.
000000129287.jpg,A person is playing tennis with a tennis racket and sports ball.
000000129549.jpg,A stop sign is on a road.
000000130562.jpg,A person is skateboarding with a skateboard.
000000131873.jpg,A giraffe is eating grass.
000000132093.jpg,A cat is on a bench.
000000132364.jpg,A person is holding a baseball bat, umbrella, chair, and sports ball.
000000136121.jpg,A zebra is grazing on a grassy area.
000000136290.jpg,A person is posing with a giraffe.
000000138509.jpg,A person is surfing on a surfboard.
000000138889.jpg,A person is flying a kite.
000000139470.jpg,A person is riding a skateboard.
000000141004.jpg,A person is snowboarding with a friend.
000000142005.jpg,A person is holding a tennis racket.
